West CEI (All Steps Combined) Annual (January-December) 1910-2017,1,2,3,4,5,6,7,8,9,10,11,12
Date,Northern Hemisphere,Southern Hemisphere,Africa,Europe,North America,Oceania,South America ,Atlantic MDR,Caribbean Islands,East N Pacific,Gulf of Mexico,Hawaiian Region
1963,0.66,0.28,-0.1,0.3,2.16,0.14,0.38,0.31,0.34,0.4,-0.14,0.2
1964,-0.52,-0.57,-0.57,0.14,0.12,-1.11,-0.51,-0.1,-0.02,-0.28,-0.57,-0.18
1965,0.12,0.09,-0.35,-0.34,-0.08,0.62,0.37,-0.02,0.11,0.17,-0.11,0.39
1966,-0.16,-0.22,-0.11,1.37,-0.57,-0.95,0.13,0.09,0.19,-0.18,0.05,0.27
1967,0.48,0.5,-0.33,1.42,-0.17,1.42,0.28,0,0.09,-0.25,-0.64,0.5
1968,-0.22,0.07,-0.16,0,0.46,-0.15,0.05,0.05,0.11,0.13,0.39,1.23
1969,-0.17,0.29,-0.06,0.44,-0.8,0.75,0.1,0.24,0.37,-0.27,0.13,-0.07
1970,-0.41,0.23,-0.21,-0.48,-0.62,0.43,0.13,-0.04,0.02,-0.3,-0.08,-0.08
1971,-0.02,-0.03,-0.56,-0.25,0.41,0.45,-0.28,-0.15,-0.19,-0.62,0.31,-0.21
1972,-0.22,0.28,0.27,-0.87,-1.17,0.38,0.14,-0.01,0,0.38,0.62,-0.38
1973,-0.01,0.29,0.12,-0.75,0.83,0.49,0.13,-0.22,-0.03,-0.81,0.53,-0.06
1974,-0.43,-0.06,-0.32,-0.78,-0.66,-0.33,-0.11,-0.38,-0.32,0.16,-0.57,0.13
1975,-0.07,-0.36,-0.58,-0.16,0.08,-0.91,-0.06,-0.28,-0.18,-0.33,-0.51,-0.54
1976,-1.08,-0.21,-0.35,-0.57,-1.31,-0.81,0.22,0.32,0.17,0.17,-0.59,-0.15
1977,-0.35,0.61,-0.04,-0.01,0.44,0.84,0.6,-0.02,0.04,0.27,-0.21,0.28
1978,0,0.08,-0.3,0.05,-0.16,-0.35,0.39,0.12,0.1,0.44,0.06,0.03
1979,0.26,0.42,0.32,-0.56,0.64,0.24,0.55,0.21,0.16,0.38,-0.14,0.26
1980,0.13,0.38,0.1,-0.16,-0.03,0.58,0.41,0.29,0.41,0.12,0.22,0.07
1981,0.08,-0.02,0.06,0.67,-0.45,0.28,0.15,0.17,0.3,0.18,0.36,0.19
1982,-0.13,0.06,-0.09,0.22,-0.29,-0.32,0.44,-0.1,-0.01,0.14,0.06,0.28
1983,0.14,0.43,-0.12,0.11,0.1,0.82,0.47,0.05,0.2,0.58,0.05,-0.31
1984,-0.11,0.47,0.01,0.89,-0.39,0.23,0.78,-0.21,-0.23,-0.09,-0.37,0.37
1985,-0.09,0.37,0.01,0.26,-0.35,-0.07,0.43,-0.04,-0.13,0.42,0.09,0.04
1986,0.03,0.1,-0.06,0.26,-0.15,-0.4,0.33,-0.14,-0.12,0.08,0.15,0.91
1987,-0.04,0.62,0.24,0.26,0.05,0.79,0.87,0.64,0.39,0.86,-0.76,0.53
1988,0.33,0.72,0.03,-0.03,-0.23,2.03,0.31,0.1,0,-0.29,-0.41,0.7
1989,0.39,0.38,0.02,0.57,0.09,0.77,0.27,0.17,-0.02,0.03,-0.41,0.26
1990,0.46,0.62,0.29,0.8,-0.45,0.75,0.81,0.58,0.38,0.51,0.43,0.29
1991,0.38,0.58,0.06,0.13,-0.54,1.35,0.34,0.04,0.03,0.05,-0.32,0.37
1992,-0.17,0.31,0.35,-1.23,-0.25,-0.22,0.52,0.07,0.04,0.55,-0.53,0.78
1993,0.18,0.44,0.69,-0.3,-0.26,-0.25,0.75,0.01,0.02,0.42,0.05,0.34
1994,0.68,0.53,-0.01,0.05,0.58,0.65,0.85,-0.01,-0.08,0.41,-0.12,0.45
